,Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday
47195,749,2,2013-02-12,2340,290,1,0,0,0
48310,749,3,2013-02-13,4848,694,1,0,0,0
49425,749,4,2013-02-14,5329,707,1,0,0,0
50540,749,5,2013-02-15,4706,626,1,0,0,0
51655,749,6,2013-02-16,2416,309,1,0,0,0
52770,749,7,2013-02-17,0,0,0,0,0,0
53885,749,1,2013-02-18,9286,979,1,1,0,0
55000,749,2,2013-02-19,5919,672,1,1,0,0
56115,749,3,2013-02-20,6860,800,1,1,0,0
57230,749,4,2013-02-21,5831,769,1,1,0,0
58345,749,5,2013-02-22,5211,683,1,1,0,0
59460,749,6,2013-02-23,2403,290,1,0,0,0
60575,749,7,2013-02-24,0,0,0,0,0,0
61690,749,1,2013-02-25,4070,622,1,0,0,0
62805,749,2,2013-02-26,4330,647,1,0,0,0
63920,749,3,2013-02-27,4209,587,1,0,0,0
65035,749,4,2013-02-28,5176,677,1,0,0,0
66150,749,5,2013-03-01,6154,777,1,0,0,0
67265,749,6,2013-03-02,3015,343,1,0,0,0
68380,749,7,2013-03-03,0,0,0,0,0,0
69495,749,1,2013-03-04,9863,1012,1,1,0,0
70610,749,2,2013-03-05,7715,866,1,1,0,0
71725,749,3,2013-03-06,6533,796,1,1,0,0
72840,749,4,2013-03-07,5632,710,1,1,0,0
73955,749,5,2013-03-08,5924,738,1,1,0,0
75070,749,6,2013-03-09,2574,322,1,0,0,0
76185,749,7,2013-03-10,0,0,0,0,0,0
77300,749,1,2013-03-11,4962,685,1,0,0,0
78415,749,2,2013-03-12,3736,540,1,0,0,0
79530,749,3,2013-03-13,4282,587,1,0,0,0
80645,749,4,2013-03-14,4687,651,1,0,0,0
81760,749,5,2013-03-15,4711,682,1,0,0,0
82875,749,6,2013-03-16,2740,322,1,0,0,0
83990,749,7,2013-03-17,0,0,0,0,0,0
85105,749,1,2013-03-18,9287,946,1,1,0,0
86220,749,2,2013-03-19,6948,827,1,1,0,0
87335,749,3,2013-03-20,6698,779,1,1,0,1
88450,749,4,2013-03-21,5841,721,1,1,0,1
89565,749,5,2013-03-22,6555,796,1,1,0,1
90680,749,6,2013-03-23,2082,276,1,0,0,0
91795,749,7,2013-03-24,0,0,0,0,0,0
92910,749,1,2013-03-25,8807,930,1,1,0,1
94025,749,2,2013-03-26,7079,763,1,1,0,1
95140,749,3,2013-03-27,7320,804,1,1,0,1
96255,749,4,2013-03-28,8445,1007,1,1,0,1
97370,749,5,2013-03-29,0,0,0,1,b,1
98485,749,6,2013-03-30,3898,518,1,0,0,0
99600,749,7,2013-03-31,0,0,0,0,0,0
100715,749,1,2013-04-01,0,0,0,0,b,1
101830,749,2,2013-04-02,5905,743,1,0,0,1
102945,749,3,2013-04-03,4582,635,1,0,0,1
104060,749,4,2013-04-04,4605,609,1,0,0,1
105175,749,5,2013-04-05,4698,668,1,0,0,1
106290,749,6,2013-04-06,2123,304,1,0,0,0
107405,749,7,2013-04-07,0,0,0,0,0,0
108520,749,1,2013-04-08,9768,1034,1,1,0,0
109635,749,2,2013-04-09,6557,743,1,1,0,0
110750,749,3,2013-04-10,6141,737,1,1,0,0
111865,749,4,2013-04-11,5361,679,1,1,0,0
112980,749,5,2013-04-12,6200,756,1,1,0,0
114095,749,6,2013-04-13,2351,324,1,0,0,0
115210,749,7,2013-04-14,0,0,0,0,0,0
116325,749,1,2013-04-15,4815,673,1,0,0,0
117440,749,2,2013-04-16,4502,614,1,0,0,0
118555,749,3,2013-04-17,4151,596,1,0,0,0
119670,749,4,2013-04-18,4068,603,1,0,0,0
120785,749,5,2013-04-19,4543,622,1,0,0,0
121900,749,6,2013-04-20,2151,304,1,0,0,0
123015,749,7,2013-04-21,0,0,0,0,0,0
124130,749,1,2013-04-22,8758,960,1,1,0,0
125245,749,2,2013-04-23,6482,759,1,1,0,0
126360,749,3,2013-04-24,5314,625,1,1,0,0
127475,749,4,2013-04-25,5325,636,1,1,0,0
128590,749,5,2013-04-26,5871,732,1,1,0,0
129705,749,6,2013-04-27,2383,287,1,0,0,0
130820,749,7,2013-04-28,0,0,0,0,0,0
131935,749,1,2013-04-29,9172,950,1,1,0,0
133050,749,2,2013-04-30,7657,786,1,1,0,0
134165,749,3,2013-05-01,0,0,0,1,a,0
135280,749,4,2013-05-02,7587,812,1,1,0,0
136395,749,5,2013-05-03,7470,823,1,1,0,0
137510,749,6,2013-05-04,2590,320,1,0,0,0
138625,749,7,2013-05-05,0,0,0,0,0,0
139740,749,1,2013-05-06,5572,721,1,0,0,0
140855,749,2,2013-05-07,3956,593,1,0,0,0
141970,749,3,2013-05-08,5504,737,1,0,0,0
143085,749,4,2013-05-09,0,0,0,0,a,0
144200,749,5,2013-05-10,6421,796,1,0,0,0
145315,749,6,2013-05-11,2688,348,1,0,0,0
146430,749,7,2013-05-12,0,0,0,0,0,0
147545,749,1,2013-05-13,7288,789,1,1,0,0
148660,749,2,2013-05-14,7281,828,1,1,0,0
149775,749,3,2013-05-15,6057,716,1,1,0,0
150890,749,4,2013-05-16,5867,716,1,1,0,0
152005,749,5,2013-05-17,5926,768,1,1,0,0
153120,749,6,2013-05-18,2719,335,1,0,0,0
154235,749,7,2013-05-19,0,0,0,0,0,0
155350,749,1,2013-05-20,0,0,0,0,a,0
156465,749,2,2013-05-21,5280,690,1,0,0,0
157580,749,3,2013-05-22,4158,565,1,0,0,0
158695,749,4,2013-05-23,3963,554,1,0,0,0
159810,749,5,2013-05-24,4440,657,1,0,0,0
160925,749,6,2013-05-25,2049,297,1,0,0,0
162040,749,7,2013-05-26,0,0,0,0,0,0
163155,749,1,2013-05-27,8466,892,1,1,0,0
164270,749,2,2013-05-28,7092,815,1,1,0,0
165385,749,3,2013-05-29,6699,750,1,1,0,0
166500,749,4,2013-05-30,0,0,0,1,a,0
167615,749,5,2013-05-31,7977,825,1,1,0,0
168730,749,6,2013-06-01,2831,346,1,0,0,0
169845,749,7,2013-06-02,0,0,0,0,0,0
170960,749,1,2013-06-03,9579,1047,1,1,0,0
172075,749,2,2013-06-04,6680,788,1,1,0,0
173190,749,3,2013-06-05,6397,727,1,1,0,0
174305,749,4,2013-06-06,5987,695,1,1,0,0
175420,749,5,2013-06-07,6094,743,1,1,0,0
176535,749,6,2013-06-08,2269,301,1,0,0,0
177650,749,7,2013-06-09,0,0,0,0,0,0
178765,749,1,2013-06-10,4508,607,1,0,0,0
179880,749,2,2013-06-11,4738,665,1,0,0,0
180995,749,3,2013-06-12,4142,582,1,0,0,0
182110,749,4,2013-06-13,4097,588,1,0,0,0
183225,749,5,2013-06-14,5054,644,1,0,0,0
184340,749,6,2013-06-15,2415,342,1,0,0,0
185455,749,7,2013-06-16,0,0,0,0,0,0
186570,749,1,2013-06-17,8835,935,1,1,0,0
187685,749,2,2013-06-18,6576,769,1,1,0,0
188800,749,3,2013-06-19,5283,679,1,1,0,0
189915,749,4,2013-06-20,5573,660,1,1,0,0
191030,749,5,2013-06-21,6027,755,1,1,0,0
192145,749,6,2013-06-22,2470,298,1,0,0,0
193260,749,7,2013-06-23,0,0,0,0,0,0
194375,749,1,2013-06-24,4102,605,1,0,0,0
195490,749,2,2013-06-25,4330,595,1,0,0,0
196605,749,3,2013-06-26,4471,592,1,0,0,0
197720,749,4,2013-06-27,3859,548,1,0,0,0
198835,749,5,2013-06-28,6460,785,1,0,0,0
199950,749,6,2013-06-29,2465,313,1,0,0,0
201065,749,7,2013-06-30,0,0,0,0,0,0
202180,749,1,2013-07-01,10173,1020,1,1,0,0
203295,749,2,2013-07-02,8364,913,1,1,0,0
204410,749,3,2013-07-03,5768,664,1,1,0,0
205525,749,4,2013-07-04,6719,826,1,1,0,0
206640,749,5,2013-07-05,6890,839,1,1,0,0
207755,749,6,2013-07-06,2744,345,1,0,0,0
208870,749,7,2013-07-07,0,0,0,0,0,0
209985,749,1,2013-07-08,5115,654,1,0,0,1
211100,749,2,2013-07-09,4648,610,1,0,0,1
212215,749,3,2013-07-10,3826,529,1,0,0,1
213330,749,4,2013-07-11,4991,614,1,0,0,1
214445,749,5,2013-07-12,5137,678,1,0,0,1
215560,749,6,2013-07-13,2326,313,1,0,0,0
216675,749,7,2013-07-14,0,0,0,0,0,0
217790,749,1,2013-07-15,10438,1025,1,1,0,1
218905,749,2,2013-07-16,8234,858,1,1,0,1
220020,749,3,2013-07-17,6829,731,1,1,0,1
221135,749,4,2013-07-18,6157,700,1,1,0,1
222250,749,5,2013-07-19,5950,745,1,1,0,1
223365,749,6,2013-07-20,2281,331,1,0,0,0
224480,749,7,2013-07-21,0,0,0,0,0,0
225595,749,1,2013-07-22,4326,564,1,0,0,1
226710,749,2,2013-07-23,3947,521,1,0,0,1
227825,749,3,2013-07-24,4054,519,1,0,0,1
228940,749,4,2013-07-25,4130,525,1,0,0,1
230055,749,5,2013-07-26,4721,639,1,0,0,1
231170,749,6,2013-07-27,2141,290,1,0,0,0
232285,749,7,2013-07-28,0,0,0,0,0,0
233400,749,1,2013-07-29,9912,999,1,1,0,1
234515,749,2,2013-07-30,7158,769,1,1,0,1
235630,749,3,2013-07-31,7692,817,1,1,0,1
236745,749,4,2013-08-01,5526,662,1,1,0,1
237860,749,5,2013-08-02,5968,724,1,1,0,1
238975,749,6,2013-08-03,2332,289,1,0,0,0
240090,749,7,2013-08-04,0,0,0,0,0,0
241205,749,1,2013-08-05,4244,617,1,0,0,1
242320,749,2,2013-08-06,3559,488,1,0,0,1
243435,749,3,2013-08-07,3752,530,1,0,0,1
244550,749,4,2013-08-08,3841,536,1,0,0,1
245665,749,5,2013-08-09,4493,619,1,0,0,1
246780,749,6,2013-08-10,2142,271,1,0,0,0
247895,749,7,2013-08-11,0,0,0,0,0,0
249010,749,1,2013-08-12,10018,1007,1,1,0,1
250125,749,2,2013-08-13,7623,840,1,1,0,1
251240,749,3,2013-08-14,6413,762,1,1,0,1
252355,749,4,2013-08-15,5600,713,1,1,0,1
253470,749,5,2013-08-16,6370,807,1,1,0,1
254585,749,6,2013-08-17,2267,306,1,0,0,0
255700,749,7,2013-08-18,0,0,0,0,0,0
256815,749,1,2013-08-19,4409,627,1,0,0,0
257930,749,2,2013-08-20,4364,610,1,0,0,0
259045,749,3,2013-08-21,4394,615,1,0,0,0
260160,749,4,2013-08-22,4087,602,1,0,0,0
261275,749,5,2013-08-23,4556,678,1,0,0,0
262390,749,6,2013-08-24,2047,280,1,0,0,0
263505,749,7,2013-08-25,0,0,0,0,0,0
264620,749,1,2013-08-26,8389,858,1,1,0,0
265735,749,2,2013-08-27,6805,784,1,1,0,0
266850,749,3,2013-08-28,5687,737,1,1,0,0
267965,749,4,2013-08-29,5834,755,1,1,0,0
269080,749,5,2013-08-30,7618,871,1,1,0,0
270195,749,6,2013-08-31,2685,423,1,0,0,0
271310,749,7,2013-09-01,0,0,0,0,0,0
272425,749,1,2013-09-02,4861,650,1,0,0,0
273540,749,2,2013-09-03,4594,665,1,0,0,0
274655,749,3,2013-09-04,4065,568,1,0,0,0
275770,749,4,2013-09-05,4450,623,1,0,0,0
276885,749,5,2013-09-06,4570,641,1,0,0,0
278000,749,6,2013-09-07,2145,298,1,0,0,0
279115,749,7,2013-09-08,0,0,0,0,0,0
280230,749,1,2013-09-09,9644,984,1,1,0,0
281345,749,2,2013-09-10,7654,817,1,1,0,0
282460,749,3,2013-09-11,5761,677,1,1,0,0
283575,749,4,2013-09-12,6245,702,1,1,0,0
284690,749,5,2013-09-13,6715,815,1,1,0,0
285805,749,6,2013-09-14,1692,251,1,0,0,0
286920,749,7,2013-09-15,0,0,0,0,0,0
288035,749,1,2013-09-16,4070,558,1,0,0,0
289150,749,2,2013-09-17,3799,582,1,0,0,0
290265,749,3,2013-09-18,3512,480,1,0,0,0
291380,749,4,2013-09-19,4055,549,1,0,0,0
292495,749,5,2013-09-20,4656,646,1,0,0,0
293610,749,6,2013-09-21,2104,280,1,0,0,0
294725,749,7,2013-09-22,0,0,0,0,0,0
295840,749,1,2013-09-23,8578,916,1,1,0,0
296955,749,2,2013-09-24,6686,780,1,1,0,0
298070,749,3,2013-09-25,5402,652,1,1,0,0
299185,749,4,2013-09-26,5215,618,1,1,0,0
300300,749,5,2013-09-27,6154,796,1,1,0,0
301415,749,6,2013-09-28,2227,292,1,0,0,0
302530,749,7,2013-09-29,0,0,0,0,0,0
303645,749,1,2013-09-30,5817,709,1,0,0,0
304760,749,2,2013-10-01,5174,694,1,0,0,0
305875,749,3,2013-10-02,5864,742,1,0,0,0
306990,749,4,2013-10-03,0,0,0,0,a,0
308105,749,5,2013-10-04,5464,749,1,0,0,1
309220,749,6,2013-10-05,2116,227,1,0,0,0
310335,749,7,2013-10-06,0,0,0,0,0,0
311450,749,1,2013-10-07,9841,1012,1,1,0,1
312565,749,2,2013-10-08,7053,769,1,1,0,1
313680,749,3,2013-10-09,6327,737,1,1,0,1
314795,749,4,2013-10-10,5228,671,1,1,0,1
315910,749,5,2013-10-11,5535,697,1,1,0,1
317025,749,6,2013-10-12,2173,300,1,0,0,0
318140,749,7,2013-10-13,0,0,0,0,0,0
319255,749,1,2013-10-14,4333,575,1,0,0,1
320370,749,2,2013-10-15,4228,611,1,0,0,1
321485,749,3,2013-10-16,4052,558,1,0,0,1
322600,749,4,2013-10-17,3955,556,1,0,0,1
323715,749,5,2013-10-18,4639,625,1,0,0,1
324830,749,6,2013-10-19,2361,293,1,0,0,0
325945,749,7,2013-10-20,0,0,0,0,0,0
327060,749,1,2013-10-21,8875,941,1,1,0,0
328175,749,2,2013-10-22,6914,797,1,1,0,0
329290,749,3,2013-10-23,5367,649,1,1,0,0
330405,749,4,2013-10-24,5226,678,1,1,0,0
331520,749,5,2013-10-25,5818,787,1,1,0,0
332635,749,6,2013-10-26,2238,306,1,0,0,0
333750,749,7,2013-10-27,0,0,0,0,0,0
334865,749,1,2013-10-28,4559,671,1,0,0,0
335980,749,2,2013-10-29,4575,641,1,0,0,0
337095,749,3,2013-10-30,5102,689,1,0,0,0
338210,749,4,2013-10-31,6178,828,1,0,0,0
339325,749,5,2013-11-01,0,0,0,0,a,0
340440,749,6,2013-11-02,2939,365,1,0,0,0
341555,749,7,2013-11-03,0,0,0,0,0,0
342670,749,1,2013-11-04,9936,989,1,1,0,0
343785,749,2,2013-11-05,7683,876,1,1,0,0
344900,749,3,2013-11-06,6516,742,1,1,0,0
346015,749,4,2013-11-07,5597,697,1,1,0,0
347130,749,5,2013-11-08,5908,724,1,1,0,0
348245,749,6,2013-11-09,2368,324,1,0,0,0
349360,749,7,2013-11-10,0,0,0,0,0,0
350475,749,1,2013-11-11,5097,676,1,0,0,0
351590,749,2,2013-11-12,4308,619,1,0,0,0
352705,749,3,2013-11-13,4480,603,1,0,0,0
353820,749,4,2013-11-14,4252,570,1,0,0,0
354935,749,5,2013-11-15,4730,692,1,0,0,0
356050,749,6,2013-11-16,1955,290,1,0,0,0
357165,749,7,2013-11-17,0,0,0,0,0,0
358280,749,1,2013-11-18,9501,973,1,1,0,0
359395,749,2,2013-11-19,6139,750,1,1,0,0
360510,749,3,2013-11-20,5970,716,1,1,0,0
361625,749,4,2013-11-21,6508,773,1,1,0,0
362740,749,5,2013-11-22,5465,716,1,1,0,0
363855,749,6,2013-11-23,2488,319,1,0,0,0
364970,749,7,2013-11-24,0,0,0,0,0,0
366085,749,1,2013-11-25,5133,713,1,0,0,0
367200,749,2,2013-11-26,5114,661,1,0,0,0
368315,749,3,2013-11-27,4634,601,1,0,0,0
369430,749,4,2013-11-28,4299,563,1,0,0,0
370545,749,5,2013-11-29,7320,878,1,0,0,0
371660,749,6,2013-11-30,3708,396,1,0,0,0
372775,749,7,2013-12-01,0,0,0,0,0,0
373890,749,1,2013-12-02,11446,1139,1,1,0,0
375005,749,2,2013-12-03,9225,929,1,1,0,0
376120,749,3,2013-12-04,7658,799,1,1,0,0
377235,749,4,2013-12-05,7410,855,1,1,0,0
378350,749,5,2013-12-06,7900,928,1,1,0,0
379465,749,6,2013-12-07,2839,362,1,0,0,0
380580,749,7,2013-12-08,0,0,0,0,0,0
381695,749,1,2013-12-09,6624,809,1,0,0,0
382810,749,2,2013-12-10,5947,732,1,0,0,0
383925,749,3,2013-12-11,4861,655,1,0,0,0
385040,749,4,2013-12-12,5055,654,1,0,0,0
386155,749,5,2013-12-13,6297,759,1,0,0,0
387270,749,6,2013-12-14,2715,324,1,0,0,0
388385,749,7,2013-12-15,0,0,0,0,0,0
389500,749,1,2013-12-16,13118,1182,1,1,0,0
390615,749,2,2013-12-17,9622,996,1,1,0,0
391730,749,3,2013-12-18,9026,945,1,1,0,0
392845,749,4,2013-12-19,6847,809,1,1,0,0
393960,749,5,2013-12-20,9107,1016,1,1,0,0
395075,749,6,2013-12-21,4171,514,1,0,0,0
396190,749,7,2013-12-22,0,0,0,0,0,0
397305,749,1,2013-12-23,9551,1136,1,0,0,1
398420,749,2,2013-12-24,4239,494,1,0,0,1
399535,749,3,2013-12-25,0,0,0,0,c,1
400650,749,4,2013-12-26,0,0,0,0,c,1
401765,749,5,2013-12-27,5533,734,1,0,0,1
402880,749,6,2013-12-28,2447,335,1,0,0,0
403995,749,7,2013-12-29,0,0,0,0,0,0
405110,749,1,2013-12-30,6775,807,1,0,0,1
406225,749,2,2013-12-31,3823,458,1,0,0,1
407340,749,3,2014-01-01,0,0,0,0,a,1
408455,749,4,2014-01-02,5807,679,1,0,0,1
409570,749,5,2014-01-03,4979,647,1,0,0,1
410685,749,6,2014-01-04,2273,298,1,0,0,0
411800,749,7,2014-01-05,0,0,0,0,0,0
412915,749,1,2014-01-06,10980,1084,1,1,0,1
414030,749,2,2014-01-07,7986,886,1,1,0,1
415145,749,3,2014-01-08,6659,788,1,1,0,0
416260,749,4,2014-01-09,6231,754,1,1,0,0
417375,749,5,2014-01-10,7377,883,1,1,0,0
418490,749,6,2014-01-11,2093,287,1,0,0,0
419605,749,7,2014-01-12,0,0,0,0,0,0
420720,749,1,2014-01-13,4309,614,1,0,0,0
421835,749,2,2014-01-14,4746,668,1,0,0,0
422950,749,3,2014-01-15,4397,660,1,0,0,0
424065,749,4,2014-01-16,4256,576,1,0,0,0
425180,749,5,2014-01-17,4492,651,1,0,0,0
426295,749,6,2014-01-18,2255,314,1,0,0,0
427410,749,7,2014-01-19,0,0,0,0,0,0
428525,749,1,2014-01-20,9595,1037,1,1,0,0
429640,749,2,2014-01-21,7378,826,1,1,0,0
430755,749,3,2014-01-22,6490,730,1,1,0,0
431870,749,4,2014-01-23,5242,650,1,1,0,0
432985,749,5,2014-01-24,6196,787,1,1,0,0
434100,749,6,2014-01-25,1913,274,1,0,0,0
435215,749,7,2014-01-26,0,0,0,0,0,0
436330,749,1,2014-01-27,5095,700,1,0,0,0
437445,749,2,2014-01-28,4595,641,1,0,0,0
438560,749,3,2014-01-29,4560,615,1,0,0,0
439675,749,4,2014-01-30,4680,617,1,0,0,0
440790,749,5,2014-01-31,5973,758,1,0,0,0
441905,749,6,2014-02-01,2827,344,1,0,0,0
443020,749,7,2014-02-02,0,0,0,0,0,0
444135,749,1,2014-02-03,10958,1059,1,1,0,0
445250,749,2,2014-02-04,8283,927,1,1,0,0
446365,749,3,2014-02-05,6354,704,1,1,0,0
447480,749,4,2014-02-06,6010,735,1,1,0,0
448595,749,5,2014-02-07,6938,805,1,1,0,0
449710,749,6,2014-02-08,1965,274,1,0,0,0
450825,749,7,2014-02-09,0,0,0,0,0,0
451940,749,1,2014-02-10,4218,644,1,0,0,0
453055,749,2,2014-02-11,4979,682,1,0,0,0
454170,749,3,2014-02-12,4626,686,1,0,0,0
455285,749,4,2014-02-13,4104,562,1,0,0,0
456400,749,5,2014-02-14,5780,795,1,0,0,0
457515,749,6,2014-02-15,2109,297,1,0,0,0
458630,749,7,2014-02-16,0,0,0,0,0,0
459745,749,1,2014-02-17,9304,995,1,1,0,0
460860,749,2,2014-02-18,7055,840,1,1,0,0
461975,749,3,2014-02-19,5935,730,1,1,0,0
463090,749,4,2014-02-20,5909,725,1,1,0,0
464205,749,5,2014-02-21,5809,745,1,1,0,0
465320,749,6,2014-02-22,2498,331,1,0,0,0
466435,749,7,2014-02-23,0,0,0,0,0,0
467550,749,1,2014-02-24,5167,708,1,0,0,0
468665,749,2,2014-02-25,3834,597,1,0,0,0
469780,749,3,2014-02-26,4183,580,1,0,0,0
470895,749,4,2014-02-27,4701,648,1,0,0,0
472010,749,5,2014-02-28,5608,727,1,0,0,0
473125,749,6,2014-03-01,2919,348,1,0,0,0
474240,749,7,2014-03-02,0,0,0,0,0,0
475355,749,1,2014-03-03,9191,987,1,1,0,0
476470,749,2,2014-03-04,7203,785,1,1,0,0
477585,749,3,2014-03-05,7443,830,1,1,0,0
478700,749,4,2014-03-06,6831,815,1,1,0,0
479815,749,5,2014-03-07,6699,839,1,1,0,0
480930,749,6,2014-03-08,2542,337,1,0,0,0
482045,749,7,2014-03-09,0,0,0,0,0,0
483160,749,1,2014-03-10,5473,744,1,0,0,0
484275,749,2,2014-03-11,4564,680,1,0,0,0
485390,749,3,2014-03-12,4226,595,1,0,0,0
486505,749,4,2014-03-13,4177,621,1,0,0,0
487620,749,5,2014-03-14,5016,703,1,0,0,0
488735,749,6,2014-03-15,2215,304,1,0,0,0
489850,749,7,2014-03-16,0,0,0,0,0,0
490965,749,1,2014-03-17,8500,964,1,1,0,0
492080,749,2,2014-03-18,6898,802,1,1,0,0
493195,749,3,2014-03-19,5593,737,1,1,0,0
494310,749,4,2014-03-20,5414,736,1,1,0,0
495425,749,5,2014-03-21,6524,819,1,1,0,0
496540,749,6,2014-03-22,1922,274,1,0,0,0
497655,749,7,2014-03-23,0,0,0,0,0,0
498770,749,1,2014-03-24,4545,662,1,0,0,0
499885,749,2,2014-03-25,4506,641,1,0,0,0
501000,749,3,2014-03-26,4133,578,1,0,0,0
502115,749,4,2014-03-27,4359,624,1,0,0,0
503230,749,5,2014-03-28,4949,673,1,0,0,0
504345,749,6,2014-03-29,2473,317,1,0,0,0
505460,749,7,2014-03-30,0,0,0,0,0,0
506575,749,1,2014-03-31,10300,1058,1,1,0,0
507690,749,2,2014-04-01,7683,841,1,1,0,0
508805,749,3,2014-04-02,6921,812,1,1,0,0
509920,749,4,2014-04-03,6859,811,1,1,0,0
511035,749,5,2014-04-04,6754,831,1,1,0,0
512150,749,6,2014-04-05,2354,299,1,0,0,0
513265,749,7,2014-04-06,0,0,0,0,0,0
514380,749,1,2014-04-07,5600,774,1,0,0,0
515495,749,2,2014-04-08,4938,689,1,0,0,0
516610,749,3,2014-04-09,5145,671,1,0,0,0
517725,749,4,2014-04-10,4486,651,1,0,0,0
518840,749,5,2014-04-11,5398,748,1,0,0,0
519955,749,6,2014-04-12,2404,310,1,0,0,0
521070,749,7,2014-04-13,0,0,0,0,0,0
522185,749,1,2014-04-14,10013,1031,1,1,0,1
523300,749,2,2014-04-15,7442,828,1,1,0,1
524415,749,3,2014-04-16,7362,809,1,1,0,1
525530,749,4,2014-04-17,7611,940,1,1,0,1
526645,749,5,2014-04-18,0,0,0,1,b,1
527760,749,6,2014-04-19,3272,462,1,0,0,0
528875,749,7,2014-04-20,0,0,0,0,0,0
529990,749,1,2014-04-21,0,0,0,0,b,1
531105,749,2,2014-04-22,6004,777,1,0,0,1
532220,749,3,2014-04-23,4185,603,1,0,0,1
533335,749,4,2014-04-24,4582,588,1,0,0,1
534450,749,5,2014-04-25,5010,710,1,0,0,1
535565,749,6,2014-04-26,2677,330,1,0,0,0
536680,749,7,2014-04-27,0,0,0,0,0,0
537795,749,1,2014-04-28,8636,941,1,1,0,0
538910,749,2,2014-04-29,7939,877,1,1,0,0
540025,749,3,2014-04-30,8042,952,1,1,0,0
541140,749,4,2014-05-01,0,0,0,1,a,0
542255,749,5,2014-05-02,8181,941,1,1,0,0
543370,749,6,2014-05-03,2472,316,1,0,0,0
544485,749,7,2014-05-04,0,0,0,0,0,0
545600,749,1,2014-05-05,9629,1020,1,1,0,0
546715,749,2,2014-05-06,7409,828,1,1,0,0
547830,749,3,2014-05-07,5738,701,1,1,0,0
548945,749,4,2014-05-08,6169,770,1,1,0,0
550060,749,5,2014-05-09,6838,821,1,1,0,0
551175,749,6,2014-05-10,2610,338,1,0,0,0
552290,749,7,2014-05-11,0,0,0,0,0,0
553405,749,1,2014-05-12,5493,740,1,0,0,0
554520,749,2,2014-05-13,4829,657,1,0,0,0
555635,749,3,2014-05-14,4598,622,1,0,0,0
556750,749,4,2014-05-15,4312,644,1,0,0,0
557865,749,5,2014-05-16,5188,720,1,0,0,0
558980,749,6,2014-05-17,2296,306,1,0,0,0
560095,749,7,2014-05-18,0,0,0,0,0,0
561210,749,1,2014-05-19,8844,944,1,1,0,0
562325,749,2,2014-05-20,6930,828,1,1,0,0
563440,749,3,2014-05-21,5950,747,1,1,0,0
564555,749,4,2014-05-22,5881,716,1,1,0,0
565670,749,5,2014-05-23,5207,734,1,1,0,0
566785,749,6,2014-05-24,1991,249,1,0,0,0
567900,749,7,2014-05-25,0,0,0,0,0,0
569015,749,1,2014-05-26,4603,664,1,0,0,0
570130,749,2,2014-05-27,4458,646,1,0,0,0
571245,749,3,2014-05-28,5677,728,1,0,0,0
572360,749,4,2014-05-29,0,0,0,0,a,0
573475,749,5,2014-05-30,6887,854,1,0,0,0
574590,749,6,2014-05-31,2490,362,1,0,0,0
575705,749,7,2014-06-01,0,0,0,0,0,0
