,Unnamed: 0,Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday,Year,Month,Day
61,68380,749,6.0,2013-03-03,0,0,0,0.0,0,0.0,2013,3,3
62,69495,749,7.0,2013-03-04,9863,1012,1,0.0,0,0.0,2013,3,4
63,70610,749,1.0,2013-03-05,7715,866,1,1.0,0,0.0,2013,3,5
64,71725,749,2.0,2013-03-06,6533,796,1,1.0,0,0.0,2013,3,6
65,72840,749,3.0,2013-03-07,5632,710,1,1.0,0,0.0,2013,3,7
66,73955,749,4.0,2013-03-08,5924,738,1,1.0,0,0.0,2013,3,8
67,75070,749,5.0,2013-03-09,2574,322,1,1.0,0,0.0,2013,3,9
68,76185,749,6.0,2013-03-10,0,0,0,0.0,0,0.0,2013,3,10
69,77300,749,7.0,2013-03-11,4962,685,1,0.0,0,0.0,2013,3,11
70,78415,749,1.0,2013-03-12,3736,540,1,0.0,0,0.0,2013,3,12
71,79530,749,2.0,2013-03-13,4282,587,1,0.0,0,0.0,2013,3,13
72,80645,749,3.0,2013-03-14,4687,651,1,0.0,0,0.0,2013,3,14
73,81760,749,4.0,2013-03-15,4711,682,1,0.0,0,0.0,2013,3,15
74,82875,749,5.0,2013-03-16,2740,322,1,0.0,0,0.0,2013,3,16
75,83990,749,6.0,2013-03-17,0,0,0,0.0,0,0.0,2013,3,17
76,85105,749,7.0,2013-03-18,9287,946,1,0.0,0,0.0,2013,3,18
77,86220,749,1.0,2013-03-19,6948,827,1,1.0,0,0.0,2013,3,19
78,87335,749,2.0,2013-03-20,6698,779,1,1.0,0,0.0,2013,3,20
79,88450,749,3.0,2013-03-21,5841,721,1,1.0,0,1.0,2013,3,21
80,89565,749,4.0,2013-03-22,6555,796,1,1.0,0,1.0,2013,3,22
81,90680,749,5.0,2013-03-23,2082,276,1,1.0,0,1.0,2013,3,23
82,91795,749,6.0,2013-03-24,0,0,0,0.0,0,0.0,2013,3,24
83,92910,749,7.0,2013-03-25,8807,930,1,0.0,0,0.0,2013,3,25
84,94025,749,1.0,2013-03-26,7079,763,1,1.0,0,1.0,2013,3,26
85,95140,749,2.0,2013-03-27,7320,804,1,1.0,0,1.0,2013,3,27
86,96255,749,3.0,2013-03-28,8445,1007,1,1.0,0,1.0,2013,3,28
87,97370,749,4.0,2013-03-29,0,0,0,1.0,b,1.0,2013,3,29
88,98485,749,5.0,2013-03-30,3898,518,1,1.0,0,1.0,2013,3,30
89,99600,749,6.0,2013-03-31,0,0,0,0.0,0,0.0,2013,3,31
90,100715,749,7.0,2013-04-01,0,0,0,0.0,b,0.0,2013,4,1
91,101830,749,1.0,2013-04-02,5905,743,1,0.0,0,1.0,2013,4,2
92,102945,749,2.0,2013-04-03,4582,635,1,0.0,0,1.0,2013,4,3
93,104060,749,3.0,2013-04-04,4605,609,1,0.0,0,1.0,2013,4,4
94,105175,749,4.0,2013-04-05,4698,668,1,0.0,0,1.0,2013,4,5
95,106290,749,5.0,2013-04-06,2123,304,1,0.0,0,1.0,2013,4,6
96,107405,749,6.0,2013-04-07,0,0,0,0.0,0,0.0,2013,4,7
97,108520,749,7.0,2013-04-08,9768,1034,1,0.0,0,0.0,2013,4,8
98,109635,749,1.0,2013-04-09,6557,743,1,1.0,0,0.0,2013,4,9
99,110750,749,2.0,2013-04-10,6141,737,1,1.0,0,0.0,2013,4,10
100,111865,749,3.0,2013-04-11,5361,679,1,1.0,0,0.0,2013,4,11
101,112980,749,4.0,2013-04-12,6200,756,1,1.0,0,0.0,2013,4,12
102,114095,749,5.0,2013-04-13,2351,324,1,1.0,0,0.0,2013,4,13
103,115210,749,6.0,2013-04-14,0,0,0,0.0,0,0.0,2013,4,14
104,116325,749,7.0,2013-04-15,4815,673,1,0.0,0,0.0,2013,4,15
105,117440,749,1.0,2013-04-16,4502,614,1,0.0,0,0.0,2013,4,16
106,118555,749,2.0,2013-04-17,4151,596,1,0.0,0,0.0,2013,4,17
107,119670,749,3.0,2013-04-18,4068,603,1,0.0,0,0.0,2013,4,18
108,120785,749,4.0,2013-04-19,4543,622,1,0.0,0,0.0,2013,4,19
109,121900,749,5.0,2013-04-20,2151,304,1,0.0,0,0.0,2013,4,20
110,123015,749,6.0,2013-04-21,0,0,0,0.0,0,0.0,2013,4,21
111,124130,749,7.0,2013-04-22,8758,960,1,0.0,0,0.0,2013,4,22
112,125245,749,1.0,2013-04-23,6482,759,1,1.0,0,0.0,2013,4,23
113,126360,749,2.0,2013-04-24,5314,625,1,1.0,0,0.0,2013,4,24
114,127475,749,3.0,2013-04-25,5325,636,1,1.0,0,0.0,2013,4,25
115,128590,749,4.0,2013-04-26,5871,732,1,1.0,0,0.0,2013,4,26
116,129705,749,5.0,2013-04-27,2383,287,1,1.0,0,0.0,2013,4,27
117,130820,749,6.0,2013-04-28,0,0,0,0.0,0,0.0,2013,4,28
118,131935,749,7.0,2013-04-29,9172,950,1,0.0,0,0.0,2013,4,29
119,133050,749,1.0,2013-04-30,7657,786,1,1.0,0,0.0,2013,4,30
120,134165,749,2.0,2013-05-01,0,0,0,1.0,a,0.0,2013,5,1
121,135280,749,3.0,2013-05-02,7587,812,1,1.0,0,0.0,2013,5,2
122,136395,749,4.0,2013-05-03,7470,823,1,1.0,0,0.0,2013,5,3
123,137510,749,5.0,2013-05-04,2590,320,1,1.0,0,0.0,2013,5,4
124,138625,749,6.0,2013-05-05,0,0,0,0.0,0,0.0,2013,5,5
125,139740,749,7.0,2013-05-06,5572,721,1,0.0,0,0.0,2013,5,6
126,140855,749,1.0,2013-05-07,3956,593,1,0.0,0,0.0,2013,5,7
127,141970,749,2.0,2013-05-08,5504,737,1,0.0,0,0.0,2013,5,8
128,143085,749,3.0,2013-05-09,0,0,0,0.0,a,0.0,2013,5,9
129,144200,749,4.0,2013-05-10,6421,796,1,0.0,0,0.0,2013,5,10
130,145315,749,5.0,2013-05-11,2688,348,1,0.0,0,0.0,2013,5,11
131,146430,749,6.0,2013-05-12,0,0,0,0.0,0,0.0,2013,5,12
132,147545,749,7.0,2013-05-13,7288,789,1,0.0,0,0.0,2013,5,13
133,148660,749,1.0,2013-05-14,7281,828,1,1.0,0,0.0,2013,5,14
134,149775,749,2.0,2013-05-15,6057,716,1,1.0,0,0.0,2013,5,15
135,150890,749,3.0,2013-05-16,5867,716,1,1.0,0,0.0,2013,5,16
136,152005,749,4.0,2013-05-17,5926,768,1,1.0,0,0.0,2013,5,17
137,153120,749,5.0,2013-05-18,2719,335,1,1.0,0,0.0,2013,5,18
138,154235,749,6.0,2013-05-19,0,0,0,0.0,0,0.0,2013,5,19
139,155350,749,7.0,2013-05-20,0,0,0,0.0,a,0.0,2013,5,20
140,156465,749,1.0,2013-05-21,5280,690,1,0.0,0,0.0,2013,5,21
141,157580,749,2.0,2013-05-22,4158,565,1,0.0,0,0.0,2013,5,22
142,158695,749,3.0,2013-05-23,3963,554,1,0.0,0,0.0,2013,5,23
143,159810,749,4.0,2013-05-24,4440,657,1,0.0,0,0.0,2013,5,24
144,160925,749,5.0,2013-05-25,2049,297,1,0.0,0,0.0,2013,5,25
145,162040,749,6.0,2013-05-26,0,0,0,0.0,0,0.0,2013,5,26
146,163155,749,7.0,2013-05-27,8466,892,1,0.0,0,0.0,2013,5,27
147,164270,749,1.0,2013-05-28,7092,815,1,1.0,0,0.0,2013,5,28
148,165385,749,2.0,2013-05-29,6699,750,1,1.0,0,0.0,2013,5,29
149,166500,749,3.0,2013-05-30,0,0,0,1.0,a,0.0,2013,5,30
150,167615,749,4.0,2013-05-31,7977,825,1,1.0,0,0.0,2013,5,31
151,168730,749,5.0,2013-06-01,2831,346,1,1.0,0,0.0,2013,6,1
152,169845,749,6.0,2013-06-02,0,0,0,0.0,0,0.0,2013,6,2
153,170960,749,7.0,2013-06-03,9579,1047,1,0.0,0,0.0,2013,6,3
154,172075,749,1.0,2013-06-04,6680,788,1,1.0,0,0.0,2013,6,4
155,173190,749,2.0,2013-06-05,6397,727,1,1.0,0,0.0,2013,6,5
156,174305,749,3.0,2013-06-06,5987,695,1,1.0,0,0.0,2013,6,6
157,175420,749,4.0,2013-06-07,6094,743,1,1.0,0,0.0,2013,6,7
158,176535,749,5.0,2013-06-08,2269,301,1,1.0,0,0.0,2013,6,8
159,177650,749,6.0,2013-06-09,0,0,0,0.0,0,0.0,2013,6,9
160,178765,749,7.0,2013-06-10,4508,607,1,0.0,0,0.0,2013,6,10
161,179880,749,1.0,2013-06-11,4738,665,1,0.0,0,0.0,2013,6,11
162,180995,749,2.0,2013-06-12,4142,582,1,0.0,0,0.0,2013,6,12
163,182110,749,3.0,2013-06-13,4097,588,1,0.0,0,0.0,2013,6,13
164,183225,749,4.0,2013-06-14,5054,644,1,0.0,0,0.0,2013,6,14
165,184340,749,5.0,2013-06-15,2415,342,1,0.0,0,0.0,2013,6,15
166,185455,749,6.0,2013-06-16,0,0,0,0.0,0,0.0,2013,6,16
167,186570,749,7.0,2013-06-17,8835,935,1,0.0,0,0.0,2013,6,17
168,187685,749,1.0,2013-06-18,6576,769,1,1.0,0,0.0,2013,6,18
169,188800,749,2.0,2013-06-19,5283,679,1,1.0,0,0.0,2013,6,19
170,189915,749,3.0,2013-06-20,5573,660,1,1.0,0,0.0,2013,6,20
171,191030,749,4.0,2013-06-21,6027,755,1,1.0,0,0.0,2013,6,21
172,192145,749,5.0,2013-06-22,2470,298,1,1.0,0,0.0,2013,6,22
173,193260,749,6.0,2013-06-23,0,0,0,0.0,0,0.0,2013,6,23
174,194375,749,7.0,2013-06-24,4102,605,1,0.0,0,0.0,2013,6,24
175,195490,749,1.0,2013-06-25,4330,595,1,0.0,0,0.0,2013,6,25
176,196605,749,2.0,2013-06-26,4471,592,1,0.0,0,0.0,2013,6,26
177,197720,749,3.0,2013-06-27,3859,548,1,0.0,0,0.0,2013,6,27
178,198835,749,4.0,2013-06-28,6460,785,1,0.0,0,0.0,2013,6,28
179,199950,749,5.0,2013-06-29,2465,313,1,0.0,0,0.0,2013,6,29
180,201065,749,6.0,2013-06-30,0,0,0,0.0,0,0.0,2013,6,30
181,202180,749,7.0,2013-07-01,10173,1020,1,0.0,0,0.0,2013,7,1
182,203295,749,1.0,2013-07-02,8364,913,1,1.0,0,0.0,2013,7,2
183,204410,749,2.0,2013-07-03,5768,664,1,1.0,0,0.0,2013,7,3
184,205525,749,3.0,2013-07-04,6719,826,1,1.0,0,0.0,2013,7,4
185,206640,749,4.0,2013-07-05,6890,839,1,1.0,0,0.0,2013,7,5
186,207755,749,5.0,2013-07-06,2744,345,1,1.0,0,0.0,2013,7,6
187,208870,749,6.0,2013-07-07,0,0,0,0.0,0,0.0,2013,7,7
188,209985,749,7.0,2013-07-08,5115,654,1,0.0,0,0.0,2013,7,8
189,211100,749,1.0,2013-07-09,4648,610,1,0.0,0,1.0,2013,7,9
190,212215,749,2.0,2013-07-10,3826,529,1,0.0,0,1.0,2013,7,10
191,213330,749,3.0,2013-07-11,4991,614,1,0.0,0,1.0,2013,7,11
192,214445,749,4.0,2013-07-12,5137,678,1,0.0,0,1.0,2013,7,12
193,215560,749,5.0,2013-07-13,2326,313,1,0.0,0,1.0,2013,7,13
194,216675,749,6.0,2013-07-14,0,0,0,0.0,0,0.0,2013,7,14
195,217790,749,7.0,2013-07-15,10438,1025,1,0.0,0,0.0,2013,7,15
196,218905,749,1.0,2013-07-16,8234,858,1,1.0,0,1.0,2013,7,16
197,220020,749,2.0,2013-07-17,6829,731,1,1.0,0,1.0,2013,7,17
198,221135,749,3.0,2013-07-18,6157,700,1,1.0,0,1.0,2013,7,18
199,222250,749,4.0,2013-07-19,5950,745,1,1.0,0,1.0,2013,7,19
200,223365,749,5.0,2013-07-20,2281,331,1,1.0,0,1.0,2013,7,20
201,224480,749,6.0,2013-07-21,0,0,0,0.0,0,0.0,2013,7,21
202,225595,749,7.0,2013-07-22,4326,564,1,0.0,0,0.0,2013,7,22
203,226710,749,1.0,2013-07-23,3947,521,1,0.0,0,1.0,2013,7,23
204,227825,749,2.0,2013-07-24,4054,519,1,0.0,0,1.0,2013,7,24
205,228940,749,3.0,2013-07-25,4130,525,1,0.0,0,1.0,2013,7,25
206,230055,749,4.0,2013-07-26,4721,639,1,0.0,0,1.0,2013,7,26
207,231170,749,5.0,2013-07-27,2141,290,1,0.0,0,1.0,2013,7,27
208,232285,749,6.0,2013-07-28,0,0,0,0.0,0,0.0,2013,7,28
209,233400,749,7.0,2013-07-29,9912,999,1,0.0,0,0.0,2013,7,29
210,234515,749,1.0,2013-07-30,7158,769,1,1.0,0,1.0,2013,7,30
211,235630,749,2.0,2013-07-31,7692,817,1,1.0,0,1.0,2013,7,31
212,236745,749,3.0,2013-08-01,5526,662,1,1.0,0,1.0,2013,8,1
213,237860,749,4.0,2013-08-02,5968,724,1,1.0,0,1.0,2013,8,2
214,238975,749,5.0,2013-08-03,2332,289,1,1.0,0,1.0,2013,8,3
215,240090,749,6.0,2013-08-04,0,0,0,0.0,0,0.0,2013,8,4
216,241205,749,7.0,2013-08-05,4244,617,1,0.0,0,0.0,2013,8,5
217,242320,749,1.0,2013-08-06,3559,488,1,0.0,0,1.0,2013,8,6
218,243435,749,2.0,2013-08-07,3752,530,1,0.0,0,1.0,2013,8,7
219,244550,749,3.0,2013-08-08,3841,536,1,0.0,0,1.0,2013,8,8
220,245665,749,4.0,2013-08-09,4493,619,1,0.0,0,1.0,2013,8,9
221,246780,749,5.0,2013-08-10,2142,271,1,0.0,0,1.0,2013,8,10
222,247895,749,6.0,2013-08-11,0,0,0,0.0,0,0.0,2013,8,11
223,249010,749,7.0,2013-08-12,10018,1007,1,0.0,0,0.0,2013,8,12
224,250125,749,1.0,2013-08-13,7623,840,1,1.0,0,1.0,2013,8,13
225,251240,749,2.0,2013-08-14,6413,762,1,1.0,0,1.0,2013,8,14
226,252355,749,3.0,2013-08-15,5600,713,1,1.0,0,1.0,2013,8,15
227,253470,749,4.0,2013-08-16,6370,807,1,1.0,0,1.0,2013,8,16
228,254585,749,5.0,2013-08-17,2267,306,1,1.0,0,1.0,2013,8,17
229,255700,749,6.0,2013-08-18,0,0,0,0.0,0,0.0,2013,8,18
230,256815,749,7.0,2013-08-19,4409,627,1,0.0,0,0.0,2013,8,19
231,257930,749,1.0,2013-08-20,4364,610,1,0.0,0,0.0,2013,8,20
232,259045,749,2.0,2013-08-21,4394,615,1,0.0,0,0.0,2013,8,21
233,260160,749,3.0,2013-08-22,4087,602,1,0.0,0,0.0,2013,8,22
234,261275,749,4.0,2013-08-23,4556,678,1,0.0,0,0.0,2013,8,23
235,262390,749,5.0,2013-08-24,2047,280,1,0.0,0,0.0,2013,8,24
236,263505,749,6.0,2013-08-25,0,0,0,0.0,0,0.0,2013,8,25
237,264620,749,7.0,2013-08-26,8389,858,1,0.0,0,0.0,2013,8,26
238,265735,749,1.0,2013-08-27,6805,784,1,1.0,0,0.0,2013,8,27
239,266850,749,2.0,2013-08-28,5687,737,1,1.0,0,0.0,2013,8,28
240,267965,749,3.0,2013-08-29,5834,755,1,1.0,0,0.0,2013,8,29
241,269080,749,4.0,2013-08-30,7618,871,1,1.0,0,0.0,2013,8,30
242,270195,749,5.0,2013-08-31,2685,423,1,1.0,0,0.0,2013,8,31
243,271310,749,6.0,2013-09-01,0,0,0,0.0,0,0.0,2013,9,1
244,272425,749,7.0,2013-09-02,4861,650,1,0.0,0,0.0,2013,9,2
245,273540,749,1.0,2013-09-03,4594,665,1,0.0,0,0.0,2013,9,3
246,274655,749,2.0,2013-09-04,4065,568,1,0.0,0,0.0,2013,9,4
247,275770,749,3.0,2013-09-05,4450,623,1,0.0,0,0.0,2013,9,5
248,276885,749,4.0,2013-09-06,4570,641,1,0.0,0,0.0,2013,9,6
249,278000,749,5.0,2013-09-07,2145,298,1,0.0,0,0.0,2013,9,7
250,279115,749,6.0,2013-09-08,0,0,0,0.0,0,0.0,2013,9,8
251,280230,749,7.0,2013-09-09,9644,984,1,0.0,0,0.0,2013,9,9
252,281345,749,1.0,2013-09-10,7654,817,1,1.0,0,0.0,2013,9,10
253,282460,749,2.0,2013-09-11,5761,677,1,1.0,0,0.0,2013,9,11
254,283575,749,3.0,2013-09-12,6245,702,1,1.0,0,0.0,2013,9,12
255,284690,749,4.0,2013-09-13,6715,815,1,1.0,0,0.0,2013,9,13
256,285805,749,5.0,2013-09-14,1692,251,1,1.0,0,0.0,2013,9,14
257,286920,749,6.0,2013-09-15,0,0,0,0.0,0,0.0,2013,9,15
258,288035,749,7.0,2013-09-16,4070,558,1,0.0,0,0.0,2013,9,16
259,289150,749,1.0,2013-09-17,3799,582,1,0.0,0,0.0,2013,9,17
260,290265,749,2.0,2013-09-18,3512,480,1,0.0,0,0.0,2013,9,18
261,291380,749,3.0,2013-09-19,4055,549,1,0.0,0,0.0,2013,9,19
262,292495,749,4.0,2013-09-20,4656,646,1,0.0,0,0.0,2013,9,20
263,293610,749,5.0,2013-09-21,2104,280,1,0.0,0,0.0,2013,9,21
264,294725,749,6.0,2013-09-22,0,0,0,0.0,0,0.0,2013,9,22
265,295840,749,7.0,2013-09-23,8578,916,1,0.0,0,0.0,2013,9,23
266,296955,749,1.0,2013-09-24,6686,780,1,1.0,0,0.0,2013,9,24
267,298070,749,2.0,2013-09-25,5402,652,1,1.0,0,0.0,2013,9,25
268,299185,749,3.0,2013-09-26,5215,618,1,1.0,0,0.0,2013,9,26
269,300300,749,4.0,2013-09-27,6154,796,1,1.0,0,0.0,2013,9,27
270,301415,749,5.0,2013-09-28,2227,292,1,1.0,0,0.0,2013,9,28
271,302530,749,6.0,2013-09-29,0,0,0,0.0,0,0.0,2013,9,29
272,303645,749,7.0,2013-09-30,5817,709,1,0.0,0,0.0,2013,9,30
273,304760,749,1.0,2013-10-01,5174,694,1,0.0,0,0.0,2013,10,1
274,305875,749,2.0,2013-10-02,5864,742,1,0.0,0,0.0,2013,10,2
275,306990,749,3.0,2013-10-03,0,0,0,0.0,a,0.0,2013,10,3
276,308105,749,4.0,2013-10-04,5464,749,1,0.0,0,0.0,2013,10,4
277,309220,749,5.0,2013-10-05,2116,227,1,0.0,0,1.0,2013,10,5
278,310335,749,6.0,2013-10-06,0,0,0,0.0,0,0.0,2013,10,6
279,311450,749,7.0,2013-10-07,9841,1012,1,0.0,0,0.0,2013,10,7
280,312565,749,1.0,2013-10-08,7053,769,1,1.0,0,1.0,2013,10,8
281,313680,749,2.0,2013-10-09,6327,737,1,1.0,0,1.0,2013,10,9
282,314795,749,3.0,2013-10-10,5228,671,1,1.0,0,1.0,2013,10,10
283,315910,749,4.0,2013-10-11,5535,697,1,1.0,0,1.0,2013,10,11
284,317025,749,5.0,2013-10-12,2173,300,1,1.0,0,1.0,2013,10,12
285,318140,749,6.0,2013-10-13,0,0,0,0.0,0,0.0,2013,10,13
286,319255,749,7.0,2013-10-14,4333,575,1,0.0,0,0.0,2013,10,14
287,320370,749,1.0,2013-10-15,4228,611,1,0.0,0,1.0,2013,10,15
288,321485,749,2.0,2013-10-16,4052,558,1,0.0,0,1.0,2013,10,16
289,322600,749,3.0,2013-10-17,3955,556,1,0.0,0,1.0,2013,10,17
290,323715,749,4.0,2013-10-18,4639,625,1,0.0,0,1.0,2013,10,18
291,324830,749,5.0,2013-10-19,2361,293,1,0.0,0,1.0,2013,10,19
292,325945,749,6.0,2013-10-20,0,0,0,0.0,0,0.0,2013,10,20
293,327060,749,7.0,2013-10-21,8875,941,1,0.0,0,0.0,2013,10,21
294,328175,749,1.0,2013-10-22,6914,797,1,1.0,0,0.0,2013,10,22
295,329290,749,2.0,2013-10-23,5367,649,1,1.0,0,0.0,2013,10,23
296,330405,749,3.0,2013-10-24,5226,678,1,1.0,0,0.0,2013,10,24
297,331520,749,4.0,2013-10-25,5818,787,1,1.0,0,0.0,2013,10,25
298,332635,749,5.0,2013-10-26,2238,306,1,1.0,0,0.0,2013,10,26
299,333750,749,6.0,2013-10-27,0,0,0,0.0,0,0.0,2013,10,27
300,334865,749,7.0,2013-10-28,4559,671,1,0.0,0,0.0,2013,10,28
301,335980,749,1.0,2013-10-29,4575,641,1,0.0,0,0.0,2013,10,29
302,337095,749,2.0,2013-10-30,5102,689,1,0.0,0,0.0,2013,10,30
303,338210,749,3.0,2013-10-31,6178,828,1,0.0,0,0.0,2013,10,31
304,339325,749,4.0,2013-11-01,0,0,0,0.0,a,0.0,2013,11,1
305,340440,749,5.0,2013-11-02,2939,365,1,0.0,0,0.0,2013,11,2
306,341555,749,6.0,2013-11-03,0,0,0,0.0,0,0.0,2013,11,3
307,342670,749,7.0,2013-11-04,9936,989,1,0.0,0,0.0,2013,11,4
308,343785,749,1.0,2013-11-05,7683,876,1,1.0,0,0.0,2013,11,5
309,344900,749,2.0,2013-11-06,6516,742,1,1.0,0,0.0,2013,11,6
310,346015,749,3.0,2013-11-07,5597,697,1,1.0,0,0.0,2013,11,7
311,347130,749,4.0,2013-11-08,5908,724,1,1.0,0,0.0,2013,11,8
312,348245,749,5.0,2013-11-09,2368,324,1,1.0,0,0.0,2013,11,9
313,349360,749,6.0,2013-11-10,0,0,0,0.0,0,0.0,2013,11,10
314,350475,749,7.0,2013-11-11,5097,676,1,0.0,0,0.0,2013,11,11
315,351590,749,1.0,2013-11-12,4308,619,1,0.0,0,0.0,2013,11,12
316,352705,749,2.0,2013-11-13,4480,603,1,0.0,0,0.0,2013,11,13
317,353820,749,3.0,2013-11-14,4252,570,1,0.0,0,0.0,2013,11,14
318,354935,749,4.0,2013-11-15,4730,692,1,0.0,0,0.0,2013,11,15
319,356050,749,5.0,2013-11-16,1955,290,1,0.0,0,0.0,2013,11,16
320,357165,749,6.0,2013-11-17,0,0,0,0.0,0,0.0,2013,11,17
321,358280,749,7.0,2013-11-18,9501,973,1,0.0,0,0.0,2013,11,18
322,359395,749,1.0,2013-11-19,6139,750,1,1.0,0,0.0,2013,11,19
323,360510,749,2.0,2013-11-20,5970,716,1,1.0,0,0.0,2013,11,20
324,361625,749,3.0,2013-11-21,6508,773,1,1.0,0,0.0,2013,11,21
325,362740,749,4.0,2013-11-22,5465,716,1,1.0,0,0.0,2013,11,22
326,363855,749,5.0,2013-11-23,2488,319,1,1.0,0,0.0,2013,11,23
327,364970,749,6.0,2013-11-24,0,0,0,0.0,0,0.0,2013,11,24
328,366085,749,7.0,2013-11-25,5133,713,1,0.0,0,0.0,2013,11,25
329,367200,749,1.0,2013-11-26,5114,661,1,0.0,0,0.0,2013,11,26
330,368315,749,2.0,2013-11-27,4634,601,1,0.0,0,0.0,2013,11,27
