,Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday,Year,Month,Day,Lagged_Open
74702,2,5,2013-03-08,4822,594,1,1,0,0,2013,3,8,0
75817,2,6,2013-03-09,2208,281,1,0,0,0,2013,3,9,0
76932,2,7,2013-03-10,0,0,0,0,0,0,2013,3,10,0
78047,2,1,2013-03-11,3778,505,1,0,0,0,2013,3,11,1
79162,2,2,2013-03-12,2991,424,1,0,0,0,2013,3,12,0
80277,2,3,2013-03-13,3874,516,1,0,0,0,2013,3,13,0
81392,2,4,2013-03-14,3964,514,1,0,0,0,2013,3,14,0
82507,2,5,2013-03-15,4181,491,1,0,0,0,2013,3,15,0
83622,2,6,2013-03-16,2956,346,1,0,0,0,2013,3,16,0
84737,2,7,2013-03-17,0,0,0,0,0,0,2013,3,17,0
85852,2,1,2013-03-18,7593,712,1,1,0,0,2013,3,18,1
86967,2,2,2013-03-19,6224,670,1,1,0,0,2013,3,19,0
88082,2,3,2013-03-20,6783,826,1,1,0,0,2013,3,20,0
89197,2,4,2013-03-21,5322,609,1,1,0,0,2013,3,21,0
90312,2,5,2013-03-22,4955,540,1,1,0,0,2013,3,22,0
91427,2,6,2013-03-23,2691,330,1,0,0,0,2013,3,23,0
92542,2,7,2013-03-24,0,0,0,0,0,0,2013,3,24,0
93657,2,1,2013-03-25,8412,844,1,1,0,1,2013,3,25,1
94772,2,2,2013-03-26,6384,702,1,1,0,1,2013,3,26,0
95887,2,3,2013-03-27,7880,892,1,1,0,1,2013,3,27,0
97002,2,4,2013-03-28,7229,801,1,1,0,1,2013,3,28,0
98117,2,5,2013-03-29,0,0,0,1,b,1,2013,3,29,0
99232,2,6,2013-03-30,4406,493,1,0,0,0,2013,3,30,1
100347,2,7,2013-03-31,0,0,0,0,0,0,2013,3,31,0
101462,2,1,2013-04-01,0,0,0,0,b,1,2013,4,1,1
102577,2,2,2013-04-02,3643,507,1,0,0,1,2013,4,2,1
103692,2,3,2013-04-03,4250,600,1,0,0,1,2013,4,3,0
104807,2,4,2013-04-04,4114,542,1,0,0,1,2013,4,4,0
105922,2,5,2013-04-05,3872,470,1,0,0,1,2013,4,5,0
107037,2,6,2013-04-06,2461,315,1,0,0,0,2013,4,6,0
108152,2,7,2013-04-07,0,0,0,0,0,0,2013,4,7,0
109267,2,1,2013-04-08,6696,732,1,1,0,0,2013,4,8,1
110382,2,2,2013-04-09,6574,667,1,1,0,0,2013,4,9,0
111497,2,3,2013-04-10,6520,780,1,1,0,0,2013,4,10,0
112612,2,4,2013-04-11,5301,606,1,1,0,0,2013,4,11,0
113727,2,5,2013-04-12,4334,519,1,1,0,0,2013,4,12,0
114842,2,6,2013-04-13,2561,324,1,0,0,0,2013,4,13,0
115957,2,7,2013-04-14,0,0,0,0,0,0,2013,4,14,0
117072,2,1,2013-04-15,3850,548,1,0,0,0,2013,4,15,1
118187,2,2,2013-04-16,4059,542,1,0,0,0,2013,4,16,0
119302,2,3,2013-04-17,4776,683,1,0,0,0,2013,4,17,0
120417,2,4,2013-04-18,3516,517,1,0,0,0,2013,4,18,0
121532,2,5,2013-04-19,3525,466,1,0,0,0,2013,4,19,0
122647,2,6,2013-04-20,2701,341,1,0,0,0,2013,4,20,0
123762,2,7,2013-04-21,0,0,0,0,0,0,2013,4,21,0
124877,2,1,2013-04-22,6774,719,1,1,0,0,2013,4,22,1
125992,2,2,2013-04-23,5775,634,1,1,0,0,2013,4,23,0
127107,2,3,2013-04-24,6260,766,1,1,0,0,2013,4,24,0
128222,2,4,2013-04-25,4689,571,1,1,0,0,2013,4,25,0
129337,2,5,2013-04-26,4914,604,1,1,0,0,2013,4,26,0
130452,2,6,2013-04-27,2134,297,1,0,0,0,2013,4,27,0
131567,2,7,2013-04-28,0,0,0,0,0,0,2013,4,28,0
132682,2,1,2013-04-29,6707,744,1,1,0,0,2013,4,29,1
133797,2,2,2013-04-30,6872,708,1,1,0,0,2013,4,30,0
134912,2,3,2013-05-01,0,0,0,1,a,0,2013,5,1,0
136027,2,4,2013-05-02,6699,762,1,1,0,0,2013,5,2,1
137142,2,5,2013-05-03,5938,794,1,1,0,0,2013,5,3,0
138257,2,6,2013-05-04,2260,339,1,0,0,0,2013,5,4,0
139372,2,7,2013-05-05,0,0,0,0,0,0,2013,5,5,0
140487,2,1,2013-05-06,3840,511,1,0,0,0,2013,5,6,1
141602,2,2,2013-05-07,4131,542,1,0,0,0,2013,5,7,0
142717,2,3,2013-05-08,5605,752,1,0,0,0,2013,5,8,0
143832,2,4,2013-05-09,0,0,0,0,a,0,2013,5,9,0
144947,2,5,2013-05-10,4888,636,1,0,0,1,2013,5,10,1
146062,2,6,2013-05-11,2702,367,1,0,0,0,2013,5,11,0
147177,2,7,2013-05-12,0,0,0,0,0,0,2013,5,12,0
148292,2,1,2013-05-13,6604,739,1,1,0,0,2013,5,13,1
149407,2,2,2013-05-14,5913,672,1,1,0,0,2013,5,14,0
150522,2,3,2013-05-15,6263,807,1,1,0,0,2013,5,15,0
151637,2,4,2013-05-16,5317,635,1,1,0,0,2013,5,16,0
152752,2,5,2013-05-17,4582,541,1,1,0,0,2013,5,17,0
153867,2,6,2013-05-18,2343,325,1,0,0,0,2013,5,18,0
154982,2,7,2013-05-19,0,0,0,0,0,0,2013,5,19,0
156097,2,1,2013-05-20,0,0,0,0,a,0,2013,5,20,1
157212,2,2,2013-05-21,4548,622,1,0,0,0,2013,5,21,1
158327,2,3,2013-05-22,4663,609,1,0,0,0,2013,5,22,0
159442,2,4,2013-05-23,3916,553,1,0,0,0,2013,5,23,0
160557,2,5,2013-05-24,3778,534,1,0,0,0,2013,5,24,0
161672,2,6,2013-05-25,2823,453,1,0,0,0,2013,5,25,0
162787,2,7,2013-05-26,0,0,0,0,0,0,2013,5,26,0
163902,2,1,2013-05-27,6751,678,1,1,0,0,2013,5,27,1
165017,2,2,2013-05-28,5732,665,1,1,0,0,2013,5,28,0
166132,2,3,2013-05-29,5345,679,1,1,0,0,2013,5,29,0
167247,2,4,2013-05-30,5822,631,1,1,0,0,2013,5,30,0
168362,2,5,2013-05-31,5916,632,1,1,0,0,2013,5,31,0
169477,2,6,2013-06-01,2335,295,1,0,0,0,2013,6,1,0
170592,2,7,2013-06-02,0,0,0,0,0,0,2013,6,2,0
171707,2,1,2013-06-03,6959,753,1,1,0,0,2013,6,3,1
172822,2,2,2013-06-04,6280,709,1,1,0,0,2013,6,4,0
173937,2,3,2013-06-05,6682,823,1,1,0,0,2013,6,5,0
175052,2,4,2013-06-06,4776,580,1,1,0,0,2013,6,6,0
176167,2,5,2013-06-07,5237,587,1,1,0,0,2013,6,7,0
177282,2,6,2013-06-08,2246,306,1,0,0,0,2013,6,8,0
178397,2,7,2013-06-09,0,0,0,0,0,0,2013,6,9,0
179512,2,1,2013-06-10,3786,495,1,0,0,0,2013,6,10,1
180627,2,2,2013-06-11,4233,595,1,0,0,0,2013,6,11,0
181742,2,3,2013-06-12,4638,645,1,0,0,0,2013,6,12,0
182857,2,4,2013-06-13,3763,490,1,0,0,0,2013,6,13,0
183972,2,5,2013-06-14,4437,558,1,0,0,0,2013,6,14,0
185087,2,6,2013-06-15,2724,372,1,0,0,0,2013,6,15,0
186202,2,7,2013-06-16,0,0,0,0,0,0,2013,6,16,0
187317,2,1,2013-06-17,7259,743,1,1,0,0,2013,6,17,1
188432,2,2,2013-06-18,5309,611,1,1,0,0,2013,6,18,0
189547,2,3,2013-06-19,5708,734,1,1,0,0,2013,6,19,0
190662,2,4,2013-06-20,4683,547,1,1,0,0,2013,6,20,0
191777,2,5,2013-06-21,5333,626,1,1,0,0,2013,6,21,0
192892,2,6,2013-06-22,2566,361,1,0,0,0,2013,6,22,0
194007,2,7,2013-06-23,0,0,0,0,0,0,2013,6,23,0
195122,2,1,2013-06-24,4388,562,1,0,0,0,2013,6,24,1
196237,2,2,2013-06-25,3921,533,1,0,0,0,2013,6,25,0
197352,2,3,2013-06-26,4869,684,1,0,0,0,2013,6,26,0
198467,2,4,2013-06-27,4791,575,1,0,0,0,2013,6,27,0
199582,2,5,2013-06-28,5261,664,1,0,0,0,2013,6,28,0
200697,2,6,2013-06-29,3687,428,1,0,0,0,2013,6,29,0
201812,2,7,2013-06-30,0,0,0,0,0,0,2013,6,30,0
202927,2,1,2013-07-01,6336,715,1,1,0,0,2013,7,1,1
204042,2,2,2013-07-02,5862,728,1,1,0,0,2013,7,2,0
205157,2,3,2013-07-03,6527,811,1,1,0,0,2013,7,3,0
206272,2,4,2013-07-04,5820,788,1,1,0,0,2013,7,4,0
207387,2,5,2013-07-05,5288,1036,1,1,0,0,2013,7,5,0
208502,2,6,2013-07-06,4504,1164,1,0,0,0,2013,7,6,0
209617,2,7,2013-07-07,0,0,0,0,0,0,2013,7,7,0
210732,2,1,2013-07-08,4460,565,1,0,0,0,2013,7,8,1
211847,2,2,2013-07-09,4600,582,1,0,0,0,2013,7,9,0
212962,2,3,2013-07-10,5244,735,1,0,0,0,2013,7,10,0
214077,2,4,2013-07-11,4772,593,1,0,0,0,2013,7,11,0
215192,2,5,2013-07-12,4605,560,1,0,0,0,2013,7,12,0
216307,2,6,2013-07-13,2838,357,1,0,0,0,2013,7,13,0
217422,2,7,2013-07-14,0,0,0,0,0,0,2013,7,14,0
218537,2,1,2013-07-15,8528,804,1,1,0,1,2013,7,15,1
219652,2,2,2013-07-16,6670,705,1,1,0,1,2013,7,16,0
220767,2,3,2013-07-17,6219,804,1,1,0,1,2013,7,17,0
221882,2,4,2013-07-18,5907,659,1,1,0,1,2013,7,18,0
222997,2,5,2013-07-19,4885,601,1,1,0,1,2013,7,19,0
224112,2,6,2013-07-20,2670,326,1,0,0,0,2013,7,20,0
225227,2,7,2013-07-21,0,0,0,0,0,0,2013,7,21,0
226342,2,1,2013-07-22,3658,490,1,0,0,1,2013,7,22,1
227457,2,2,2013-07-23,3726,469,1,0,0,1,2013,7,23,0
228572,2,3,2013-07-24,4282,611,1,0,0,1,2013,7,24,0
229687,2,4,2013-07-25,3531,496,1,0,0,1,2013,7,25,0
230802,2,5,2013-07-26,3441,438,1,0,0,1,2013,7,26,0
231917,2,6,2013-07-27,2059,292,1,0,0,0,2013,7,27,0
233032,2,7,2013-07-28,0,0,0,0,0,0,2013,7,28,0
234147,2,1,2013-07-29,7249,717,1,1,0,1,2013,7,29,1
235262,2,2,2013-07-30,6802,702,1,1,0,1,2013,7,30,0
236377,2,3,2013-07-31,8295,942,1,1,0,1,2013,7,31,0
237492,2,4,2013-08-01,5640,643,1,1,0,1,2013,8,1,0
238607,2,5,2013-08-02,4776,545,1,1,0,1,2013,8,2,0
239722,2,6,2013-08-03,2641,353,1,0,0,0,2013,8,3,0
240837,2,7,2013-08-04,0,0,0,0,0,0,2013,8,4,0
241952,2,1,2013-08-05,4066,526,1,0,0,1,2013,8,5,1
243067,2,2,2013-08-06,3434,475,1,0,0,1,2013,8,6,0
244182,2,3,2013-08-07,4467,650,1,0,0,1,2013,8,7,0
245297,2,4,2013-08-08,3949,520,1,0,0,1,2013,8,8,0
246412,2,5,2013-08-09,3551,456,1,0,0,1,2013,8,9,0
247527,2,6,2013-08-10,2624,312,1,0,0,0,2013,8,10,0
248642,2,7,2013-08-11,0,0,0,0,0,0,2013,8,11,0
249757,2,1,2013-08-12,6518,725,1,1,0,1,2013,8,12,1
250872,2,2,2013-08-13,6154,640,1,1,0,1,2013,8,13,0
251987,2,3,2013-08-14,7229,860,1,1,0,1,2013,8,14,0
253102,2,4,2013-08-15,5186,619,1,1,0,1,2013,8,15,0
254217,2,5,2013-08-16,4895,571,1,1,0,1,2013,8,16,0
255332,2,6,2013-08-17,2731,353,1,0,0,0,2013,8,17,0
256447,2,7,2013-08-18,0,0,0,0,0,0,2013,8,18,0
257562,2,1,2013-08-19,3747,528,1,0,0,1,2013,8,19,1
258677,2,2,2013-08-20,3894,517,1,0,0,1,2013,8,20,0
259792,2,3,2013-08-21,4399,655,1,0,0,1,2013,8,21,0
260907,2,4,2013-08-22,3998,536,1,0,0,1,2013,8,22,0
262022,2,5,2013-08-23,3652,523,1,0,0,1,2013,8,23,0
263137,2,6,2013-08-24,2546,343,1,0,0,0,2013,8,24,0
264252,2,7,2013-08-25,0,0,0,0,0,0,2013,8,25,0
265367,2,1,2013-08-26,7453,752,1,1,0,0,2013,8,26,1
266482,2,2,2013-08-27,6529,717,1,1,0,0,2013,8,27,0
267597,2,3,2013-08-28,6474,811,1,1,0,0,2013,8,28,0
268712,2,4,2013-08-29,5527,635,1,1,0,0,2013,8,29,0
269827,2,5,2013-08-30,6280,702,1,1,0,0,2013,8,30,0
270942,2,6,2013-08-31,2803,348,1,0,0,0,2013,8,31,0
272057,2,7,2013-09-01,0,0,0,0,0,0,2013,9,1,0
273172,2,1,2013-09-02,4305,547,1,0,0,0,2013,9,2,1
274287,2,2,2013-09-03,4199,549,1,0,0,0,2013,9,3,0
275402,2,3,2013-09-04,4709,673,1,0,0,0,2013,9,4,0
276517,2,4,2013-09-05,3784,531,1,0,0,0,2013,9,5,0
277632,2,5,2013-09-06,3793,471,1,0,0,0,2013,9,6,0
278747,2,6,2013-09-07,2540,330,1,0,0,0,2013,9,7,0
279862,2,7,2013-09-08,0,0,0,0,0,0,2013,9,8,0
280977,2,1,2013-09-09,7005,726,1,1,0,0,2013,9,9,1
282092,2,2,2013-09-10,6578,707,1,1,0,0,2013,9,10,0
283207,2,3,2013-09-11,6537,791,1,1,0,0,2013,9,11,0
284322,2,4,2013-09-12,5558,618,1,1,0,0,2013,9,12,0
285437,2,5,2013-09-13,4954,550,1,1,0,0,2013,9,13,0
286552,2,6,2013-09-14,2841,352,1,0,0,0,2013,9,14,0
287667,2,7,2013-09-15,0,0,0,0,0,0,2013,9,15,0
288782,2,1,2013-09-16,3837,509,1,0,0,0,2013,9,16,1
289897,2,2,2013-09-17,3823,525,1,0,0,0,2013,9,17,0
291012,2,3,2013-09-18,4574,625,1,0,0,0,2013,9,18,0
292127,2,4,2013-09-19,3840,509,1,0,0,0,2013,9,19,0
293242,2,5,2013-09-20,3949,475,1,0,0,0,2013,9,20,0
294357,2,6,2013-09-21,2651,335,1,0,0,0,2013,9,21,0
295472,2,7,2013-09-22,0,0,0,0,0,0,2013,9,22,0
296587,2,1,2013-09-23,6802,677,1,1,0,0,2013,9,23,1
297702,2,2,2013-09-24,6387,670,1,1,0,0,2013,9,24,0
298817,2,3,2013-09-25,6708,858,1,1,0,0,2013,9,25,0
299932,2,4,2013-09-26,5795,629,1,1,0,0,2013,9,26,0
301047,2,5,2013-09-27,4874,547,1,1,0,0,2013,9,27,0
302162,2,6,2013-09-28,3428,383,1,0,0,0,2013,9,28,0
303277,2,7,2013-09-29,0,0,0,0,0,0,2013,9,29,0
304392,2,1,2013-09-30,5610,691,1,0,0,0,2013,9,30,1
305507,2,2,2013-10-01,3830,539,1,0,0,0,2013,10,1,0
306622,2,3,2013-10-02,5238,691,1,0,0,0,2013,10,2,0
307737,2,4,2013-10-03,2656,381,1,0,a,0,2013,10,3,0
308852,2,5,2013-10-04,4671,547,1,0,0,0,2013,10,4,0
309967,2,6,2013-10-05,2688,342,1,0,0,0,2013,10,5,0
311082,2,7,2013-10-06,0,0,0,0,0,0,2013,10,6,0
312197,2,1,2013-10-07,7368,737,1,1,0,0,2013,10,7,1
313312,2,2,2013-10-08,6282,691,1,1,0,0,2013,10,8,0
314427,2,3,2013-10-09,7006,826,1,1,0,0,2013,10,9,0
315542,2,4,2013-10-10,4972,555,1,1,0,0,2013,10,10,0
316657,2,5,2013-10-11,4923,547,1,1,0,0,2013,10,11,0
317772,2,6,2013-10-12,2914,344,1,0,0,0,2013,10,12,0
318887,2,7,2013-10-13,0,0,0,0,0,0,2013,10,13,0
320002,2,1,2013-10-14,4528,578,1,0,0,0,2013,10,14,1
321117,2,2,2013-10-15,3584,472,1,0,0,0,2013,10,15,0
322232,2,3,2013-10-16,5035,679,1,0,0,0,2013,10,16,0
323347,2,4,2013-10-17,3986,519,1,0,0,0,2013,10,17,0
324462,2,5,2013-10-18,4095,548,1,0,0,0,2013,10,18,0
325577,2,6,2013-10-19,2441,325,1,0,0,0,2013,10,19,0
326692,2,7,2013-10-20,0,0,0,0,0,0,2013,10,20,0
327807,2,1,2013-10-21,6538,730,1,1,0,1,2013,10,21,1
328922,2,2,2013-10-22,5450,582,1,1,0,1,2013,10,22,0
330037,2,3,2013-10-23,5896,754,1,1,0,1,2013,10,23,0
331152,2,4,2013-10-24,5015,604,1,1,0,1,2013,10,24,0
332267,2,5,2013-10-25,4524,531,1,1,0,1,2013,10,25,0
333382,2,6,2013-10-26,2517,348,1,0,0,0,2013,10,26,0
334497,2,7,2013-10-27,0,0,0,0,0,0,2013,10,27,0
335612,2,1,2013-10-28,3859,526,1,0,0,1,2013,10,28,1
336727,2,2,2013-10-29,4074,532,1,0,0,1,2013,10,29,0
337842,2,3,2013-10-30,6272,796,1,0,0,1,2013,10,30,0
338957,2,4,2013-10-31,0,0,0,0,a,1,2013,10,31,0
340072,2,5,2013-11-01,5507,664,1,0,0,1,2013,11,1,1
341187,2,6,2013-11-02,2688,355,1,0,0,0,2013,11,2,0
342302,2,7,2013-11-03,0,0,0,0,0,0,2013,11,3,0
343417,2,1,2013-11-04,7930,768,1,1,0,0,2013,11,4,1
344532,2,2,2013-11-05,6368,681,1,1,0,0,2013,11,5,0
345647,2,3,2013-11-06,6941,798,1,1,0,0,2013,11,6,0
346762,2,4,2013-11-07,5570,630,1,1,0,0,2013,11,7,0
347877,2,5,2013-11-08,5441,590,1,1,0,0,2013,11,8,0
348992,2,6,2013-11-09,3145,376,1,0,0,0,2013,11,9,0
350107,2,7,2013-11-10,0,0,0,0,0,0,2013,11,10,0
351222,2,1,2013-11-11,4017,509,1,0,0,0,2013,11,11,1
352337,2,2,2013-11-12,4116,537,1,0,0,0,2013,11,12,0
353452,2,3,2013-11-13,4980,668,1,0,0,0,2013,11,13,0
354567,2,4,2013-11-14,4388,541,1,0,0,0,2013,11,14,0
355682,2,5,2013-11-15,4042,505,1,0,0,0,2013,11,15,0
356797,2,6,2013-11-16,2829,359,1,0,0,0,2013,11,16,0
357912,2,7,2013-11-17,0,0,0,0,0,0,2013,11,17,0
359027,2,1,2013-11-18,7435,735,1,1,0,0,2013,11,18,1
360142,2,2,2013-11-19,6016,660,1,1,0,0,2013,11,19,0
361257,2,3,2013-11-20,6390,690,1,1,0,0,2013,11,20,0
362372,2,4,2013-11-21,5397,571,1,1,0,0,2013,11,21,0
363487,2,5,2013-11-22,4474,537,1,1,0,0,2013,11,22,0
364602,2,6,2013-11-23,2965,335,1,0,0,0,2013,11,23,0
365717,2,7,2013-11-24,0,0,0,0,0,0,2013,11,24,0
366832,2,1,2013-11-25,4669,556,1,0,0,0,2013,11,25,1
367947,2,2,2013-11-26,4303,543,1,0,0,0,2013,11,26,0
369062,2,3,2013-11-27,5498,694,1,0,0,0,2013,11,27,0
370177,2,4,2013-11-28,5149,579,1,0,0,0,2013,11,28,0
371292,2,5,2013-11-29,5027,587,1,0,0,0,2013,11,29,0
372407,2,6,2013-11-30,3343,365,1,0,0,0,2013,11,30,0
373522,2,7,2013-12-01,0,0,0,0,0,0,2013,12,1,0
374637,2,1,2013-12-02,8836,850,1,1,0,0,2013,12,2,1
375752,2,2,2013-12-03,8137,741,1,1,0,0,2013,12,3,0
376867,2,3,2013-12-04,8202,854,1,1,0,0,2013,12,4,0
377982,2,4,2013-12-05,7163,701,1,1,0,0,2013,12,5,0
379097,2,5,2013-12-06,4816,544,1,1,0,0,2013,12,6,0
380212,2,6,2013-12-07,2534,302,1,0,0,0,2013,12,7,0
381327,2,7,2013-12-08,0,0,0,0,0,0,2013,12,8,0
382442,2,1,2013-12-09,4392,587,1,0,0,0,2013,12,9,1
383557,2,2,2013-12-10,4994,629,1,0,0,0,2013,12,10,0
384672,2,3,2013-12-11,6052,732,1,0,0,0,2013,12,11,0
385787,2,4,2013-12-12,5232,591,1,0,0,0,2013,12,12,0
386902,2,5,2013-12-13,4808,546,1,0,0,0,2013,12,13,0
388017,2,6,2013-12-14,3236,353,1,0,0,0,2013,12,14,0
389132,2,7,2013-12-15,0,0,0,0,0,0,2013,12,15,0
390247,2,1,2013-12-16,10479,925,1,1,0,0,2013,12,16,1
391362,2,2,2013-12-17,10374,882,1,1,0,0,2013,12,17,0
392477,2,3,2013-12-18,10019,1011,1,1,0,0,2013,12,18,0
393592,2,4,2013-12-19,8559,823,1,1,0,0,2013,12,19,0
394707,2,5,2013-12-20,7574,801,1,1,0,0,2013,12,20,0
395822,2,6,2013-12-21,4941,539,1,0,0,0,2013,12,21,0
396937,2,7,2013-12-22,0,0,0,0,0,0,2013,12,22,0
398052,2,1,2013-12-23,8640,971,1,0,0,1,2013,12,23,1
399167,2,2,2013-12-24,2407,277,1,0,0,1,2013,12,24,0
400282,2,3,2013-12-25,0,0,0,0,c,1,2013,12,25,0
401397,2,4,2013-12-26,0,0,0,0,c,1,2013,12,26,1
402512,2,5,2013-12-27,5582,659,1,0,0,1,2013,12,27,1
403627,2,6,2013-12-28,3561,416,1,0,0,0,2013,12,28,0
404742,2,7,2013-12-29,0,0,0,0,0,0,2013,12,29,0
405857,2,1,2013-12-30,7528,852,1,0,0,1,2013,12,30,1
406972,2,2,2013-12-31,2148,268,1,0,0,1,2013,12,31,0
408087,2,3,2014-01-01,0,0,0,0,a,1,2014,1,1,0
409202,2,4,2014-01-02,3759,531,1,0,0,1,2014,1,2,1
410317,2,5,2014-01-03,4802,560,1,0,0,1,2014,1,3,0
411432,2,6,2014-01-04,2760,321,1,0,0,0,2014,1,4,0
412547,2,7,2014-01-05,0,0,0,0,0,0,2014,1,5,0
413662,2,1,2014-01-06,8317,823,1,1,0,0,2014,1,6,1
414777,2,2,2014-01-07,6567,727,1,1,0,0,2014,1,7,0
415892,2,3,2014-01-08,6597,796,1,1,0,0,2014,1,8,0
417007,2,4,2014-01-09,6081,643,1,1,0,0,2014,1,9,0
418122,2,5,2014-01-10,5146,628,1,1,0,0,2014,1,10,0
419237,2,6,2014-01-11,2872,358,1,0,0,0,2014,1,11,0
420352,2,7,2014-01-12,0,0,0,0,0,0,2014,1,12,0
421467,2,1,2014-01-13,4290,552,1,0,0,0,2014,1,13,1
422582,2,2,2014-01-14,4195,497,1,0,0,0,2014,1,14,0
423697,2,3,2014-01-15,4919,673,1,0,0,0,2014,1,15,0
424812,2,4,2014-01-16,3998,507,1,0,0,0,2014,1,16,0
425927,2,5,2014-01-17,3868,480,1,0,0,0,2014,1,17,0
427042,2,6,2014-01-18,2497,322,1,0,0,0,2014,1,18,0
428157,2,7,2014-01-19,0,0,0,0,0,0,2014,1,19,0
429272,2,1,2014-01-20,7082,739,1,1,0,0,2014,1,20,1
430387,2,2,2014-01-21,6564,691,1,1,0,0,2014,1,21,0
431502,2,3,2014-01-22,5451,680,1,1,0,0,2014,1,22,0
